"ML","Location","UseCode","UseDescription","LandArea","TotalAppraisedLandValue","TotalAppraisedImprovements","TotalAppraisedParcelValue","BookPage","SaleDate","StyleDesc","GrossArea","Occupancy","AYBYrBuilt","BldgStories"
"173-64","32 SHEPARD ST #4","102","CONDOMINIUM",0,0,353500,353500," 17741/ 135",12/31/1986,"APARTMENT",770,"",1900,"1"
"173-64","32 SHEPARD ST #21","102","CONDOMINIUM",0,0,451000,451000," 27463/ 410",6/23/1993,"APARTMENT",1001,"",1900,"2"
"173-64","32 SHEPARD ST #22","102","CONDOMINIUM",0,0,451000,451000," 59219/ 513",6/1/2012,"APARTMENT",1001,"",1900,"1"
"173-64","32 SHEPARD ST #23","102","CONDOMINIUM",0,0,345000,345000," 31812/ 345",9/12/2000,"APARTMENT",642,"",1900,"1"
"173-64","32 SHEPARD ST #24","102","CONDOMINIUM",0,0,492800,492800," 41847/  56",1/23/2004,"APARTMENT",1149,"",1900,"1"
"173-64","32 SHEPARD ST #31","102","CONDOMINIUM",0,0,458600,458600," 52033/ 182",12/31/2008,"APARTMENT",1001,"",1900,"1"
"173-64","32 SHEPARD ST #32","102","CONDOMINIUM",0,0,451000,451000," 30430/  14",7/16/1999,"APARTMENT",1001,"AP",1900,"1"
"173-64","32 SHEPARD ST #33","102","CONDOMINIUM",0,0,336300,336300," 49420/ 120",5/9/2007,"APARTMENT",642,"AP",1900,"1"
"173-64","32 SHEPARD ST #34","102","CONDOMINIUM",0,0,492800,492800," 54632/ 422",5/3/2010,"APARTMENT",1149,"",1900,"1"
"173-64","32 SHEPARD ST #41","102","CONDOMINIUM",0,0,451000,451000," 22459/ 266",10/2/1992,"APARTMENT",1001,"",1900,"1"
"173-64","32 SHEPARD ST #42","102","CONDOMINIUM",0,0,451000,451000," 48104/ 136",9/1/2006,"APARTMENT",1001,"",1900,"1"
"173-64","32 SHEPARD ST #43","102","CONDOMINIUM",0,0,345000,345000," 54285/ 385",2/11/2010,"APARTMENT",642,"",1900,"1"
"173-64","32 SHEPARD ST #44","102","CONDOMINIUM",0,0,492800,492800," 50507/ 570",12/24/2007,"APARTMENT",1149,"AP",1900,"1"
"173-65","1642 MASSACHUSETTS AVE","325","RETAIL-STORE",2701.0000908,429800,542600,972400," 59314/ 432",6/18/2012,"RETAIL-STORE",5456,"3",1920,"1"
"173-67","1-3 LANGDON ST","112",">8-UNIT-APT",16367.0000472,2534400,4406200,6940600," 35598/ 481",6/3/2002,"APARTMENTS",29995,"33",1924,"4"
"173-71","1622 MASSACHUSETTS AVE","112",">8-UNIT-APT",15659.0002008,4454400,5060200,9514600,"  1182/ 111",3/29/1989,"APARTMENTS",32484,"58",1880,"4"
"173-74","67-69 WALKER ST","199","CONDO-BLDG",6238.9999188,0,0,0,"/",1/1/1900,"",3211,"",1847,"2"
"173-74","65-69 WALKER ST #1","102","CONDOMINIUM",0,0,212500,212500," 17695/ 499",12/12/1986,"APARTMENT",349,"AP",1847,"1"
"173-74","65-69 WALKER ST #2","102","CONDOMINIUM",0,0,301100,301100," 56814/ 248",5/3/2011,"APARTMENT",561,"AP",1847,"1"
"173-74","65-69 WALKER ST #3","102","CONDOMINIUM",0,0,262400,262400," 17259/ 187",7/31/1986,"APARTMENT",432,"AP",1847,"1"
